num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_les,edad_les,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc
6133,29,11,7,6,1,1,1,1,1,2,1,9,9999,2
1969,11,4,6,6,22,2,1,1,1,2,7,1,9999,3
3927,4,8,2,7,9,2,1,1,1,2,7,6,9999,3
4284,4,8,2,7,9,2,1,1,1,2,7,6,9999,3
4420,4,8,2,7,9,2,1,1,1,2,7,6,9999,3
254,13,1,2,8,21,2,1,1,1,2,9,99,9999,3
215,13,1,2,8,21,2,1,1,1,2,12,7,9999,3
220,13,1,2,8,21,2,1,1,1,2,12,7,9999,3
6341,13,12,7,9,12,2,1,1,1,2,3,5,9999,99
2743,22,5,5,9,9,2,1,1,1,2,3,2,1992,1
734,7,2,6,11,14,2,1,1,1,2,9,99,9999,2
1961,11,4,6,12,16,2,1,1,1,2,1,2,9999,4
128,8,1,4,12,20,2,1,1,1,2,10,1,9999,3
198,12,1,1,13,1,1,1,1,1,2,4,5,2009,1
713,5,2,4,13,1,2,1,1,1,2,7,7,9999,1
714,5,2,4,13,1,2,1,1,1,2,7,7,9999,1
4984,11,9,5,14,3,2,1,1,1,2,3,1,9999,1
5697,25,10,7,16,2,2,1,1,1,2,2,13,2004,1
5543,17,10,6,16,9,2,1,1,1,2,3,1,1997,3
3018,11,6,4,17,20,2,1,1,1,2,3,99,9999,3
1233,2,3,1,17,13,2,1,1,1,2,3,9,9999,2
2153,18,4,6,17,6,2,1,1,1,2,3,8,1991,1
6601,22,12,2,17,9,2,1,1,1,2,7,1,1984,2
6009,22,11,7,18,15,2,1,1,1,2,1,1,1998,1
6548,20,12,7,18,1,1,1,1,1,2,1,17,9999,1
2733,21,5,4,19,4,2,1,1,1,2,1,6,1999,1
2191,19,4,7,22,1,1,1,1,1,2,1,99,9999,1
5873,8,11,7,0,11,2,2,1,1,2,3,2,1998,3
6150,29,11,7,1,9,2,2,1,1,2,3,2,9999,4
5832,5,11,4,6,18,2,2,1,1,2,1,4,2000,1
2435,3,5,7,7,1,1,2,1,1,2,7,99,9999,2
13,1,1,4,8,5,2,2,1,1,2,1,14,1983,3
3524,10,7,5,8,14,2,2,1,1,2,3,6,1975,3
3535,10,7,5,8,14,2,2,1,1,2,3,6,1975,3
5174,24,9,4,9,3,2,2,1,1,2,7,99,9999,1
3847,1,8,6,10,1,1,2,1,1,2,1,11,2001,1
4204,1,8,6,10,1,1,2,1,1,2,1,11,2001,1
4340,1,8,6,10,1,1,2,1,1,2,1,11,2001,1
6305,11,12,5,10,11,2,2,1,1,2,10,99,9999,1
4915,6,9,7,13,1,1,2,1,1,2,1,9,1983,1
3409,3,7,5,14,10,2,2,1,1,2,1,3,9999,2
4856,1,9,2,14,14,1,2,1,1,2,3,9,1983,1
2081,12,4,7,14,1,1,2,1,1,2,4,5,9999,1
5308,1,10,4,15,15,2,2,1,1,2,9,6,2004,3
666,4,2,3,15,16,1,2,1,1,2,10,1,1985,1
6783,31,12,4,16,8,2,2,1,1,2,3,3,9999,3
3275,22,6,1,16,16,2,2,1,1,2,3,11,1984,3
1814,5,4,7,16,22,1,2,1,1,2,3,14,1999,3
5353,4,10,7,16,6,1,2,1,1,2,9,5,9999,1
1864,7,4,2,17,6,2,2,1,1,2,2,99,9999,2
1230,2,3,1,17,13,2,2,1,1,2,3,9,9999,2
1231,2,3,1,17,13,2,2,1,1,2,3,9,9999,2
6082,25,11,3,17,7,2,2,1,1,2,3,2,9999,1
783,9,2,1,20,14,2,2,1,1,2,3,3,9999,2
6772,31,12,4,20,3,2,2,1,1,2,3,1,1995,1
5002,12,9,6,21,8,2,2,1,1,2,2,4,9999,4
1732,30,3,1,0,1,1,1,2,1,2,1,11,1996,1
6575,21,12,1,0,18,2,1,2,1,2,2,6,9999,4
1631,23,3,1,3,1,1,1,2,1,2,7,2,9999,4
634,4,2,3,5,6,2,1,2,1,2,7,6,1991,2
1967,11,4,6,6,22,2,1,2,1,2,7,1,9999,3
3371,30,6,2,6,12,1,1,2,1,2,9,2,2006,1
5184,24,9,4,8,1,2,1,2,1,2,1,4,1989,1
1154,27,2,5,8,9,2,1,2,1,2,3,1,9999,3
