núm_corre,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1,1,1,4,16,3,2,1,101,1,1,2,24,1,3,3,5,9,1,32,11,2003,4,1
2,1,1,4,16,3,2,1,101,1,1,1,19,1,2,2,4,9,4,21,5,2011,5,1
3,1,1,4,22,4,3,1,101,1,16,2,24,1,3,3,5,1,1,21,3,9999,6,1
4,1,1,4,22,4,3,1,101,1,16,1,32,1,5,5,7,1,4,21,5,9999,6,1
5,1,1,4,2,1,1,1,101,1,7,1,18,1,2,2,4,9,4,21,1,2000,4,1
6,1,1,4,2,1,1,1,101,1,7,9,999,9,16,12,18,9,3,44,6,9999,6,1
7,1,1,4,9,2,1,1,101,1,12,1,20,1,3,3,5,9,4,40,5,9999,6,2
8,1,1,4,1,1,1,1,115,1,8,1,23,1,3,3,5,9,1,34,4,9999,6,2
9,1,1,4,8,2,1,1,114,2,99,1,19,1,2,2,4,1,4,41,4,9999,6,3
10,1,1,4,17,3,2,1,110,2,99,1,24,1,3,3,5,1,7,22,7,9999,6,1
11,1,1,4,17,3,2,1,110,2,99,1,23,1,3,3,5,1,4,21,1,9999,6,1
12,1,1,4,10,2,1,6,602,2,99,1,24,1,3,3,5,2,4,99,5,9999,6,3
13,1,1,4,20,4,3,6,602,2,99,1,20,1,3,3,5,1,1,99,6,9999,6,1
14,1,1,4,20,4,3,6,602,2,99,1,24,1,3,3,5,1,1,34,9,2001,4,1
15,1,1,4,20,4,3,6,602,2,99,1,29,1,4,4,6,1,3,44,1,2015,5,1
16,1,1,4,7,2,1,11,1101,2,99,1,21,1,3,3,5,2,3,44,2,2001,4,3
17,1,1,4,15,3,2,15,1501,2,99,1,28,1,4,4,6,2,4,37,5,9999,6,1
18,1,1,4,15,3,2,15,1501,2,99,9,999,9,16,12,18,9,1,99,5,9999,6,1
19,1,2,5,1,1,1,1,101,1,16,1,23,1,3,3,5,9,1,5,5,9999,6,1
20,1,2,5,1,1,1,1,101,1,16,1,33,1,5,5,7,9,1,44,3,9999,6,1
21,1,2,5,10,2,1,1,101,1,10,2,25,1,4,4,6,9,1,20,4,2004,4,1
22,1,2,5,10,2,1,1,101,1,10,1,22,1,3,3,5,9,4,49,3,9999,6,1
23,1,2,5,23,4,3,1,101,1,5,1,25,1,4,4,6,9,1,20,5,2005,4,1
24,1,2,5,23,4,3,1,101,1,5,1,30,1,5,5,7,9,1,30,3,2003,4,1
25,1,2,5,0,1,1,1,115,1,1,1,82,1,15,11,17,9,1,99,3,9999,6,2
26,1,2,5,0,1,1,21,2106,2,99,1,26,1,4,4,6,9,1,21,1,1998,3,3
27,1,2,5,12,3,2,20,2001,2,99,2,28,1,4,4,6,9,4,31,6,1995,3,1
28,1,2,5,12,3,2,20,2001,2,99,9,999,9,16,12,18,9,4,99,5,2012,5,1
29,1,2,5,15,3,2,5,508,2,99,1,25,1,4,4,6,9,6,22,6,1992,3,3
30,1,2,5,7,2,1,12,1201,2,99,1,26,1,4,4,6,9,2,44,5,9999,6,1
31,1,2,5,7,2,1,12,1201,2,99,1,16,2,2,2,4,9,4,42,5,9999,6,1
32,1,2,5,9,2,1,16,1601,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,2
33,1,2,5,17,3,2,18,1801,2,99,2,45,1,8,8,10,9,4,99,1,9999,6,3
34,1,2,5,4,1,1,7,701,1,1,1,28,1,4,4,6,9,4,2,1,9999,6,1
35,1,2,5,4,1,1,7,701,1,1,9,999,9,16,12,18,9,3,2,1,9999,6,1
36,1,3,6,20,4,3,1,101,1,2,1,47,1,8,8,10,2,1,46,4,2001,4,1
37,1,3,6,20,4,3,1,101,1,2,9,999,9,16,12,18,9,2,34,3,2002,4,1
38,1,3,6,20,4,3,1,101,1,2,9,999,9,16,12,18,9,11,44,2,1993,3,1
39,1,3,6,6,2,1,1,101,1,18,1,34,1,5,5,7,9,2,44,4,9999,6,1
40,1,3,6,6,2,1,1,101,1,18,9,999,9,16,12,18,9,6,99,99,9999,6,1
41,1,3,6,1,1,1,1,101,1,18,1,34,1,5,5,7,9,4,14,1,9999,6,1
42,1,3,6,1,1,1,1,101,1,18,9,999,9,16,12,18,9,99,99,99,9999,6,1
43,1,3,6,23,4,3,19,1904,2,99,1,66,1,12,11,14,1,6,15,11,2001,4,1
44,1,3,6,23,4,3,19,1904,2,99,9,999,9,16,12,18,1,3,44,3,1994,3,1
45,1,3,6,11,2,1,5,506,2,99,1,27,1,4,4,6,9,4,21,1,9999,6,3
46,1,3,6,22,4,3,6,611,2,99,1,26,1,4,4,6,9,4,37,1,9999,6,1
47,1,3,6,22,4,3,6,611,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
48,1,3,6,10,2,1,18,1805,2,99,1,58,1,10,10,12,1,3,44,2,2004,4,1
49,1,3,6,10,2,1,18,1805,2,99,1,45,1,8,8,10,1,4,2,99,2009,4,1
50,1,3,6,19,4,3,18,1801,2,99,1,64,1,11,11,13,9,3,30,2,2007,4,1
51,1,3,6,19,4,3,18,1801,2,99,1,20,1,3,3,5,9,4,14,5,9999,6,1
52,1,3,6,10,2,1,18,1801,2,99,1,16,2,2,2,4,9,4,99,99,9999,6,1
53,1,3,6,10,2,1,18,1801,2,99,9,999,9,16,12,18,9,4,99,99,9999,6,1
54,1,3,6,22,4,3,3,313,2,99,1,28,1,4,4,6,2,1,13,99,9999,6,1
55,1,3,6,22,4,3,3,313,2,99,1,999,9,16,12,18,9,1,44,11,2004,4,1
56,1,4,7,17,3,2,1,101,1,1,1,24,1,3,3,5,1,12,3,1,1994,3,1
57,1,4,7,17,3,2,1,101,1,1,1,35,1,6,6,8,9,4,37,5,2011,5,1
58,1,4,7,19,4,3,1,115,1,2,1,48,1,8,8,10,9,1,20,3,2001,4,1
59,1,4,7,19,4,3,1,115,1,2,1,20,1,3,3,5,9,4,2,5,9999,6,1
60,1,4,7,11,2,1,1,115,2,99,1,24,1,3,3,5,9,4,99,99,9999,6,1
61,1,4,7,11,2,1,1,115,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
62,1,4,7,11,2,1,22,2201,2,99,1,22,1,3,3,5,1,4,41,99,2013,5,1
63,1,4,7,11,2,1,22,2201,2,99,2,23,1,3,3,5,9,4,41,99,2014,5,1
64,1,4,7,10,2,1,21,2104,2,99,1,21,1,3,3,5,9,4,2,7,2014,5,1
65,1,4,7,11,2,1,21,2102,2,99,9,999,9,16,12,18,9,12,99,99,9999,6,3
66,1,4,7,10,2,1,5,502,2,99,1,22,1,3,3,5,9,4,2,5,2014,5,3
67,1,4,7,23,4,3,5,509,2,99,1,38,1,6,6,8,9,4,99,99,9999,6,2
68,1,4,7,19,4,3,5,502,2,99,1,21,1,3,3,5,9,4,21,5,9999,6,1
69,1,4,7,19,4,3,5,502,2,99,1,20,1,3,3,5,9,4,99,5,9999,6,1
70,1,4,7,20,4,3,9,920,1,3,1,40,1,7,7,9,9,4,2,1,9999,6,1
71,1,4,7,20,4,3,9,920,1,3,9,999,9,16,12,18,9,1,99,99,9999,6,1
72,1,4,7,1,1,1,9,901,1,5,1,53,1,9,9,11,2,1,21,1,9999,6,1
73,1,4,7,1,1,1,9,901,1,5,9,999,9,16,12,18,9,1,21,6,9999,6,1
74,1,4,7,22,4,3,12,1202,1,4,1,61,1,11,11,13,2,3,32,5,1984,2,1
75,1,4,7,22,4,3,12,1202,1,4,9,999,9,16,12,18,9,1,32,2,2003,4,1
76,1,4,7,3,1,1,12,1201,1,2,1,32,1,5,5,7,2,1,32,4,9999,6,2
77,1,4,7,9,2,1,12,1218,2,99,1,26,1,4,4,6,9,4,99,99,9999,6,2
78,1,4,7,19,4,3,17,1703,2,99,1,30,1,5,5,7,9,4,99,99,9999,6,4
79,1,4,7,21,4,3,17,1712,2,99,1,34,1,5,5,7,9,4,99,99,9999,6,4
80,1,4,7,17,3,2,4,407,2,99,1,48,1,8,8,10,9,5,99,2,9999,6,1
81,1,4,7,17,3,2,4,407,2,99,1,24,1,3,3,5,2,4,41,5,9999,6,1
82,1,5,1,9,2,1,1,101,1,5,1,41,1,7,7,9,1,4,42,1,2006,4,1
83,1,5,1,9,2,1,1,101,1,5,9,999,9,16,12,18,9,1,99,99,9999,6,1
84,1,5,1,6,2,1,5,502,2,99,1,37,1,6,6,8,9,5,13,3,1995,3,1
85,1,5,1,6,2,1,5,502,2,99,9,999,9,16,12,18,9,3,44,6,2008,4,1
