num_hecho,dia_ocu,mes_ocu,año_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_pil,g_edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc
2252,6,8,9,4,7,12,2,1,18,1,1,1,3,1991,1
2322,6,8,9,4,7,12,2,1,18,1,1,1,3,1991,1
2526,28,8,9,5,12,5,1,1,18,1,1,1,10,1999,1
1525,22,5,9,5,18,1,1,1,18,1,1,1,4,2000,1
370,4,2,9,3,17,1,1,1,18,1,1,1,4,2001,1
216,21,1,9,3,13,1,1,2,18,1,1,1,6,2002,1
1221,21,4,9,2,0,1,2,1,18,1,1,1,2,9999,1
3109,7,11,9,6,22,16,2,1,18,1,1,1,6,1991,2
2524,28,8,9,5,2,1,1,1,18,1,1,1,2,2008,2
747,7,3,9,6,22,9,2,1,18,1,1,1,99,9999,2
3485,27,12,9,7,17,20,2,1,18,1,1,2,5,1996,1
3350,13,12,9,7,9,12,2,2,18,1,1,3,5,9999,99
918,23,3,9,1,5,16,2,1,18,1,1,3,2,1985,1
2976,23,10,9,5,11,10,1,1,18,1,1,3,5,1990,1
3022,29,10,9,4,15,6,2,1,18,1,1,3,5,1991,1
2369,12,8,9,3,19,9,2,1,18,1,1,3,4,1994,1
2073,27,7,9,1,17,13,2,1,18,1,1,3,6,1996,1
1688,13,6,9,6,18,11,1,1,18,1,1,3,1,2003,1
750,7,3,9,6,19,15,2,1,18,1,1,3,99,9999,1
2502,25,8,9,2,0,16,2,1,18,1,1,3,1,1986,4
568,21,2,9,6,15,5,1,1,18,1,1,4,1,1984,1
142,14,1,9,3,12,11,2,2,18,1,1,4,14,2003,1
2849,9,10,9,5,14,14,2,1,18,1,1,4,3,2007,1
3156,17,11,9,2,21,16,1,1,18,1,1,4,1,2007,1
444,10,2,9,2,18,3,1,1,18,1,1,4,4,2008,1
183,17,1,9,6,15,10,1,1,18,1,1,4,3,9999,1
921,24,3,9,2,10,5,1,1,18,1,1,4,16,9999,1
1475,17,5,9,7,15,21,1,1,18,1,1,4,1,9999,1
3020,29,10,9,4,13,19,2,1,18,1,1,4,3,9999,1
3340,12,12,9,6,8,4,2,1,18,1,1,4,5,9999,1
2171,4,8,9,2,14,14,2,1,18,1,1,4,3,2009,2
2241,4,8,9,2,14,14,2,1,18,1,1,4,3,2009,2
2311,4,8,9,2,14,14,2,1,18,1,1,4,3,2009,2
53,4,1,9,7,19,4,2,1,18,1,1,4,2,9999,2
783,8,3,9,7,16,1,1,1,18,1,1,4,5,9999,2
824,13,3,9,5,9,20,2,1,18,1,1,9,3,1997,1
1955,12,7,9,7,14,14,2,1,18,1,1,9,2,9999,2
1848,1,6,9,3,8,1,1,1,18,1,1,12,1,9999,1
339,1,2,9,7,18,6,2,1,18,1,1,14,99,9999,1
3075,3,11,9,2,12,22,2,1,18,1,1,14,1,9999,3
577,21,2,9,6,0,1,1,1,19,1,9,1,2,1967,1
1727,17,6,9,3,13,17,2,1,19,1,9,1,2,1995,1
3523,31,12,9,4,20,3,2,1,19,1,9,1,3,1996,1
1347,4,5,9,1,17,1,1,1,19,1,9,1,2,2003,1
3329,11,12,9,5,0,9,2,1,19,1,9,1,2,9999,1
1872,4,7,9,6,1,1,1,1,19,1,9,1,2,9999,2
2090,29,7,9,3,3,1,1,1,19,1,9,1,3,1988,3
3189,22,11,9,7,11,1,2,1,19,1,9,1,4,2003,4
3483,27,12,9,7,16,1,1,1,19,1,9,2,9,9999,1
1328,2,5,9,6,18,3,2,1,19,1,9,3,2,1991,1
837,14,3,9,6,7,18,2,1,19,1,9,3,2,9999,1
2522,27,8,9,4,0,1,1,1,19,1,9,3,99,9999,1
3047,31,10,9,6,16,19,2,1,19,1,9,3,1,2003,4
1963,13,7,9,1,11,13,2,1,19,1,9,3,99,9999,4
899,21,3,9,6,15,18,2,1,19,1,9,4,1,1981,1
2331,7,8,9,5,13,12,1,1,19,1,9,4,3,1999,1
3469,25,12,9,5, ,1,1,1,19,1,9,4,2,2006,1
605,23,2,9,1,15,1,1,1,19,1,9,4,1,2008,1
2848,9,10,9,5,12,18,1,1,19,1,9,4,1,2008,1
638,26,2,9,4,20,18,2,1,19,1,9,4,1,9999,1
1015,2,4,9,4,9,13,2,1,19,1,9,4,4,9999,1
1128,11,4,9,6,16,16,2,1,19,1,9,4,1,9999,1
2851,9,10,9,5,20,1,2,1,19,1,9,4,3,9999,1
3271,4,12,9,5,23,1,2,1,19,1,9,4,1,9999,1
3385,18,12,9,5,21,1,1,1,19,1,9,4,5,9999,1
838,14,3,9,6,17,17,2,1,19,1,9,4,99,9999,2
2686,18,9,9,5,1,1,1,1,19,1,9,4,5,9999,2
2968,22,10,9,4,8,13,1,1,19,1,9,4,5,9999,2
3359,15,12,9,2,0,12,1,1,19,1,9,4,2,9999,2
3317,9,12,9,3,0,19,2,1,19,1,9,4,4,2005,4
2992,25,10,9,7,9,5,2,1,19,1,9,4,5,9999,4
2895,15,10,9,4,2,14,2,1,19,1,9,5,2,9999,4
928,24,3,9,2,17,3,2,1,19,1,9,9,4,9999,1
839,14,3,9,6,3,1,1,1,19,1,2,1,1,2001,1
1689,13,6,9,6,20,9,2,1,19,1,2,3,9,1990,1
1775,22,6,9,1,18,7,1,1,19,1,2,3,6,2000,1
2777,29,9,9,2,0,10,1,1,19,1,2,3,4,9999,1
2978,23,10,9,5,13,13,2,1,19,1,2,3,6,9999,1
511,15,2,9,7,18,15,1,1,19,1,2,3,9,1991,2
1549,24,5,9,7,3,10,2,1,19,1,2,4,99,2006,1
90,10,1,9,6,0,10,2,1,19,1,2,4,1,2008,1
1088,9,4,9,4,0,17,2,1,19,1,2,4,5,9999,1
1755,20,6,9,6,1,3,2,1,19,1,2,4,6,2008,4
1217,20,4,9,1,16,5,1,1,19,1,2,4,3,9999,4
2906,16,10,9,5,16,7,2,1,19,1,2,14,1,9999,1
316,31,1,9,6,2,1,1,1,19,1,1,1,6,1994,1
2918,17,10,9,6,21,1,1,1,19,1,1,1,5,1997,1
2435,20,8,9,4,20,1,1,1,19,1,1,1,3,2000,1
2486,24,8,9,1,16,1,1,2,19,1,1,1,5,2003,1
2021,20,7,9,1,1,9,1,1,19,1,1,1,3,2005,1
418,8,2,9,7,10,1,1,1,19,1,1,1,99,9999,1
1607,3,6,9,3,22,1,1,1,19,1,1,1,1,9999,1
2095,30,7,9,4,3,1,1,1,19,1,1,1,6,1995,2
445,11,2,9,3,5,1,1,2,19,1,1,1,1,9999,2
1543,24,5,9,7,21,1,1,1,19,1,1,1,1,9999,2
3517,30,12,9,3,0,1,1,1,19,1,1,2,5,1999,1
305,30,1,9,5,21,9,2,2,19,1,1,2,2,2000,4
367,3,2,9,2,6,8,1,1,19,1,1,3,3,1985,1
232,22,1,9,4,6,4,2,2,19,1,1,3,5,1988,1
884,19,3,9,4,15,17,2,1,19,1,1,3,4,1989,1
2339,8,8,9,6,17,1,1,1,19,1,1,3,3,1989,1
3399,20,12,9,7,15,1,2,1,19,1,1,3,9,2000,1
534,18,2,9,3,19,1,1,1,19,1,1,3,5,2007,1
