núm_corre,día_ocu,año_ocu,hora_ocu,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,fall_les,int_o_noint
5691,5,2016,14,9,1,208,2,2,99,2,30,1,99,69,2,2012,1,5,5,7,3,2,5,2,1
5692,5,2016,14,9,1,208,2,2,99,1,20,1,99,69,2,2012,1,3,3,5,3,2,5,2,1
5693,5,2016,14,9,1,208,2,2,99,1,51,1,99,69,2,2012,1,9,9,11,3,2,5,2,1
5694,5,2016,14,9,1,208,2,2,99,2,33,1,99,69,2,2012,1,5,5,7,3,2,5,2,1
5695,5,2016,14,9,1,208,2,2,99,1,29,1,99,69,2,2012,1,4,4,6,3,2,5,2,1
5696,5,2016,18,9,1,1801,18,2,99,1,20,1,4,27,1,2005,1,3,3,5,4,3,4,2,1
5697,5,2016,18,9,1,1801,18,2,99,1,20,1,4,77,1,2014,1,3,3,5,4,3,5,2,1
5698,6,2016,17,9,2,101,1,1,1,1,35,1,4,6,1,9999,1,6,6,8,3,2,6,2,1
5699,6,2016,10,9,2,109,1,1,99,1,999,1,4,999,99,9999,1,16,12,18,2,1,6,2,1
5700,6,2016,16,9,2,2201,22,1,99,2,30,1,4,67,4,9999,4,5,5,7,3,2,6,2,1
5701,6,2016,14,9,2,2001,20,2,99,1,20,1,3,999,4,9999,3,3,3,5,3,2,6,2,1
5702,6,2016,15,9,2,1902,19,2,99,1,45,1,1,31,2,2004,1,8,8,10,3,2,4,1,2
5703,6,2016,13,9,2,501,5,2,99,1,41,1,4,32,99,9999,4,7,7,9,3,2,6,2,1
5704,6,2016,17,9,2,1102,11,2,99,1,25,1,1,69,6,9999,2,4,4,6,3,2,6,2,1
5705,6,2016,13,9,2,901,9,1,99,1,46,1,4,999,1,9999,1,8,8,10,3,2,6,2,1
5706,6,2016,13,9,2,901,9,1,99,1,9,2,4,999,1,9999,1,1,1,2,3,2,6,2,1
5707,6,2016,10,9,2,1215,12,2,99,1,28,1,3,46,2,2017,1,4,4,6,2,1,5,2,1
5708,6,2016,10,9,2,1215,12,2,99,1,57,1,1,69,2,9999,1,10,10,12,2,1,6,2,1
5709,6,2016,18,9,2,1801,18,2,99,2,10,2,7,999,99,9999,2,1,1,3,4,3,6,1,2
5710,6,2016,18,9,2,1801,18,2,99,2,19,1,7,999,99,9999,2,2,2,4,4,3,6,2,1
5711,6,2016,18,9,2,1801,18,2,99,2,22,1,7,999,99,9999,2,3,3,5,4,3,6,2,1
5712,6,2016,18,9,2,1801,18,2,99,1,22,1,7,999,99,9999,2,3,3,5,4,3,6,2,1
5713,6,2016,18,9,2,1801,18,2,99,1,2,2,7,999,99,9999,2,1,1,1,4,3,6,2,1
5714,6,2016,18,9,2,1801,18,2,99,1,9,2,7,999,99,9999,2,1,1,2,4,3,6,2,1
5715,6,2016,18,9,2,1801,18,2,99,1,5,2,7,999,99,9999,2,1,1,2,4,3,6,2,1
5716,6,2016,18,9,2,1801,18,2,99,1,5,2,7,999,99,9999,2,1,1,2,4,3,6,2,1
5717,6,2016,18,9,2,1801,18,2,99,2,2,2,7,999,99,9999,2,1,1,1,4,3,6,2,1
5718,6,2016,18,9,2,1801,18,2,99,2,4,2,7,999,99,9999,2,1,1,1,4,3,6,2,1
5719,6,2016,18,9,2,1801,18,2,99,2,20,1,7,999,99,9999,2,3,3,5,4,3,6,2,1
5720,6,2016,18,9,2,1801,18,2,99,2,8,2,7,999,99,9999,2,1,1,2,4,3,6,2,1
5721,6,2016,22,9,2,1101,11,2,99,1,26,1,4,27,99,2004,1,4,4,6,4,3,4,1,2
5722,6,2016,13,9,2,1615,16,2,99,1,54,1,2,52,99,9999,1,9,9,11,3,2,6,1,2
5723,6,2016,13,9,2,1615,16,2,99,1,43,1,2,52,99,9999,1,7,7,9,3,2,6,1,2
5724,6,2016,13,9,2,1615,16,2,99,1,35,1,2,52,99,9999,1,6,6,8,3,2,6,1,2
5725,6,2016,13,9,2,1615,16,2,99,1,16,2,2,52,99,9999,1,2,2,4,3,2,6,1,2
5726,6,2016,13,9,2,1615,16,2,99,1,44,1,2,52,99,9999,1,7,7,9,3,2,6,1,2
5727,6,2016,19,9,2,1401,14,2,99,1,40,1,5,17,1,9999,4,7,7,9,4,3,6,2,1
5728,7,2016,15,9,3,101,1,1,1,1,28,1,4,6,5,9999,1,4,4,6,3,2,6,2,1
5729,7,2016,13,9,3,117,1,2,99,1,49,1,4,27,99,9999,1,8,8,10,3,2,6,2,1
5730,7,2016,15,9,3,801,8,2,99,1,999,1,3,69,9,9999,1,16,12,18,3,2,6,2,1
5731,7,2016,17,9,3,1603,16,2,99,1,22,1,3,52,99,9999,2,3,3,5,3,2,6,2,1
5732,7,2016,17,9,3,1705,17,2,99,1,17,2,18,124,1,9999,1,2,2,4,3,2,6,1,2
5733,7,2016,0,9,3,409,4,2,99,2,48,1,1,69,99,9999,2,8,8,10,1,1,6,2,1
5734,7,2016,0,9,3,409,4,2,99,2,65,1,1,69,99,9999,2,12,11,14,1,1,6,2,1
5735,7,2016,0,9,3,409,4,2,99,2,35,1,1,69,99,9999,2,6,6,8,1,1,6,2,1
5736,7,2016,0,9,3,409,4,2,99,1,2,2,1,69,99,9999,2,1,1,1,1,1,6,2,2
