,num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_pil,g_edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc,year,zona_ocu
0,1449,13,5,3,1,14,1,9,999,99,2,3,2,1988,2,2009,99
1,1587,1,7,1,15,22,2,2,13,2,1,4,4,9999,2,2009,99
2,679,1,3,7,17,17,2,1,14,2,1,4,99,9999,4,2009,99
3,633,26,2,4,18,21,2,1,15,2,9,1,1,9999,4,2009,99
4,673,1,3,7,15,10,1,1,15,2,9,14,1,2007,2,2009,99
5,1046,5,4,7,14,18,1,1,15,2,9,14,1,9999,4,2009,99
6,946,26,3,4,8,12,2,1,15,2,1,3,6,9999,2,2009,99
7,1815,27,6,6,11,15,2,1,15,2,1,3,1,9999,2,2009,99
8,1163,14,4,2,14,15,2,1,15,2,1,3,2,9999,3,2009,99
9,935,25,3,3,9,12,2,1,15,2,1,3,3,9999,4,2009,99
10,2794,1,10,4,20,14,2,1,15,2,1,4,99,9999,1,2009,99
11,678,1,3,7,11,17,2,1,15,2,1,4,99,9999,4,2009,99
12,583,22,2,7,23,1,1,1,16,2,9,1,1,9999,2,2009,99
13,2940,18,10,7,15,20,2,2,16,2,9,3,1,9999,4,2009,99
14,2631,11,9,5,19,14,1,2,16,2,9,4,5,2008,1,2009,99
15,2397,15,8,6,20,20,2,1,16,2,9,4,1,9999,1,2009,99
16,2979,23,10,5,11,13,2,1,16,2,9,4,99,9999,1,2009,99
17,3500,28,12,1,16,1,1,1,16,2,9,4,5,9999,1,2009,99
18,513,15,2,7,18,14,1,1,16,2,9,4,3,9999,4,2009,99
19,2754,27,9,7,14,17,2,1,16,2,9,4,99,9999,4,2009,99
20,617,23,2,1,20,3,2,1,16,2,9,14,4,9999,2,2009,99
21,2547,30,8,7,21,4,1,1,16,2,2,1,1,9999,1,2009,99
22,3388,19,12,6,23,1,1,1,16,2,2,4,5,9999,1,2009,99
23,2017,20,7,1,16,22,2,1,16,2,2,4,5,2007,4,2009,99
24,77,9,1,5,10,6,1,1,16,2,1,2,2,1988,1,2009,99
25,1752,20,6,6,17,10,2,1,16,2,1,2,2,9999,1,2009,99
26,297,29,1,4,13,12,2,1,16,2,1,3,99,1984,1,2009,99
27,1164,15,4,3,9,13,2,1,16,2,1,9,2,2007,1,2009,99
28,1952,12,7,7,11,12,1,1,16,2,1,9,2,2007,1,2009,99
29,287,28,1,3,20,1,1,1,16,2,1,12,1,1990,2,2009,99
30,1040,5,4,7,3,1,2,1,17,2,9,1,2,9999,2,2009,99
31,3471,25,12,5,23,5,2,2,17,2,9,1,11,9999,2,2009,99
32,904,22,3,7,19,22,2,1,17,2,9,1,3,9999,3,2009,99
33,1051,6,4,1,0,20,2,1,17,2,9,3,2,9999,4,2009,99
34,1200,19,4,7,0,19,1,1,17,2,9,4,5,1991,1,2009,99
35,3096,6,11,5,18,1,1,1,17,2,9,4,3,2008,1,2009,99
36,1171,16,4,4,0,13,2,1,17,2,9,4,1,9999,1,2009,99
37,2980,23,10,5,23,17,1,1,17,2,9,4,9,9999,1,2009,99
38,2418,17,8,1,10,15,2,1,17,2,9,4,5,9999,2,2009,99
39,729,5,3,4,4,21,2,1,17,2,9,4,14,9999,4,2009,99
40,790,9,3,1,22,10,2,1,17,2,9,4,1,9999,4,2009,99
41,1117,11,4,6,17,6,2,1,17,2,9,4,99,9999,4,2009,99
42,2531,28,8,5,8,10,1,1,17,2,9,4,4,9999,4,2009,99
43,3376,17,12,4,14,14,2,1,17,1,9,5,2,9999,3,2009,99
44,2564,2,9,3,16,1,1,1,17,2,1,1,1,1983,1,2009,99
45,544,18,2,3,15,7,2,1,17,2,1,1,6,1995,1,2009,99
46,3142,13,11,5,3,1,1,1,17,2,1,1,2,2007,2,2009,99
47,1189,18,4,6,16,17,1,1,17,2,1,1,10,9999,2,2009,99
48,34,3,1,6,16,20,2,1,17,2,1,2,3,1989,3,2009,99
49,3431,22,12,2,13,11,1,1,17,2,1,3,1,9999,1,2009,99
50,241,24,1,6,11,19,2,1,17,2,1,3,11,2006,3,2009,99
51,553,19,2,4,9,17,2,1,17,2,1,4,3,2007,1,2009,99
52,365,3,2,2,19,11,1,2,17,2,1,4,99,9999,1,2009,99
53,388,5,2,4,14,15,1,1,17,2,1,4,3,9999,1,2009,99
54,1465,16,5,6,21,1,1,1,17,2,1,4,99,9999,1,2009,99
55,1518,21,5,4,21,5,2,1,17,2,1,4,3,9999,1,2009,99
56,992,30,3,1,19,17,2,1,17,2,1,4,99,9999,2,2009,99
57,1920,9,7,4,0,11,2,1,17,2,1,4,1,9999,4,2009,99
58,3124,8,11,7,10,20,1,1,17,2,1,9,2,2004,1,2009,99
59,576,21,2,6,13,4,2,1,18,1,9,1,3,1996,1,2009,99
60,3174,20,11,5,11,1,1,1,18,1,9,1,6,9999,1,2009,99
61,252,25,1,7,0,1,2,1,18,1,9,1,11,9999,2,2009,99
62,1618,5,6,5,19,1,2,1,18,1,9,4,2,2005,1,2009,99
63,2175,5,8,3,13,19,2,1,18,1,9,4,3,2006,1,2009,99
64,2245,5,8,3,13,19,2,1,18,1,9,4,3,2006,1,2009,99
65,2315,5,8,3,13,19,2,1,18,1,9,4,3,2006,1,2009,99
66,570,21,2,6,13,9,2,2,18,1,9,4,7,9999,1,2009,99
67,645,27,2,5,6,1,1,1,18,1,9,4,5,9999,1,2009,99
68,1154,13,4,1,20,2,2,1,18,1,9,4,99,9999,1,2009,99
69,2827,6,10,2,21,5,2,1,18,1,9,4,5,9999,1,2009,99
70,2987,24,10,6,21,5,2,1,18,1,9,4,99,9999,1,2009,99
71,3008,27,10,2,20,10,1,1,18,1,9,4,5,9999,1,2009,99
72,3284,6,12,7,5,1,2,1,18,1,9,4,3,9999,1,2009,99
73,849,15,3,7,22,5,1,1,18,1,9,4,1,9999,2,2009,99
74,968,28,3,6,16,18,2,1,18,1,9,4,5,1999,4,2009,99
75,2598,7,9,1,7,4,2,1,18,1,9,4,99,9999,4,2009,99
76,2958,21,10,3,15,10,1,2,18,1,9,4,99,9999,4,2009,99
77,2981,23,10,5,18,17,1,2,18,1,9,4,4,9999,4,2009,99
78,1311,1,5,5,18,16,2,1,18,1,9,5,2,9999,4,2009,99
79,2579,5,9,6,13,1,2,1,18,1,9,9,3,9999,2,2009,99
80,109,11,1,7,18,12,2,1,18,1,9,14,1,2007,3,2009,99
81,3001,26,10,1,13,1,1,1,18,1,9,14,1,9999,3,2009,99
82,864,17,3,2,14,18,1,2,18,1,9,99,99,9999,2,2009,99
83,405,7,2,6,20,8,1,1,18,1,2,1,10,1993,1,2009,99
84,406,7,2,6,15,16,2,1,18,1,2,1,10,1993,1,2009,99
85,728,4,3,3,23,1,1,1,18,1,2,1,4,2009,1,2009,99
86,2343,8,8,6,22,10,2,1,18,1,2,1,4,9999,1,2009,99
87,2660,15,9,2,13,19,2,1,18,1,2,1,99,9999,1,2009,99
88,3155,17,11,2,23,9,1,1,18,1,2,3,9,1996,1,2009,99
89,1626,5,6,5,0,4,2,1,18,1,2,3,6,1998,1,2009,99
90,2844,9,10,5,8,1,1,1,18,1,2,3,9,1998,1,2009,99
91,518,15,2,7,22,13,2,1,18,1,2,3,99,9999,1,2009,99
92,2002,18,7,6,20,9,2,1,18,1,2,3,3,9999,1,2009,99
93,127,13,1,2,23,9,1,1,18,1,2,4,1,2008,1,2009,99
94,2492,24,8,1,21,13,1,1,18,1,2,4,2,9999,1,2009,99
95,3068,2,11,1,23,12,2,1,18,1,2,4,1,9999,2,2009,99
96,2640,12,9,6,21,4,2,1,18,1,2,4,9,2008,4,2009,99
97,1961,13,7,1,22,9,1,1,18,1,2,4,5,9999,4,2009,99
98,3170,19,11,4,19,1,1,1,18,1,2,4,5,9999,4,2009,99
99,1312,1,5,5,0,2,2,1,18,1,2,5,2,2008,1,2009,99
100,1910,7,7,2,14,2,2,1,18,1,1,1,5,1988,1,2009,99
101,1924,9,7,4,14,1,1,1,18,1,1,1,5,1990,1,2009,99
102,2182,6,8,4,7,12,2,1,18,1,1,1,3,1991,1,2009,99
103,2252,6,8,4,7,12,2,1,18,1,1,1,3,1991,1,2009,99
104,2322,6,8,4,7,12,2,1,18,1,1,1,3,1991,1,2009,99
105,2526,28,8,5,12,5,1,1,18,1,1,1,10,1999,1,2009,99
106,1525,22,5,5,18,1,1,1,18,1,1,1,4,2000,1,2009,99
107,370,4,2,3,17,1,1,1,18,1,1,1,4,2001,1,2009,99
108,216,21,1,3,13,1,1,2,18,1,1,1,6,2002,1,2009,99
109,1221,21,4,2,0,1,2,1,18,1,1,1,2,9999,1,2009,99
110,3109,7,11,6,22,16,2,1,18,1,1,1,6,1991,2,2009,99
111,2524,28,8,5,2,1,1,1,18,1,1,1,2,2008,2,2009,99
112,747,7,3,6,22,9,2,1,18,1,1,1,99,9999,2,2009,99
113,3485,27,12,7,17,20,2,1,18,1,1,2,5,1996,1,2009,99
114,3350,13,12,7,9,12,2,2,18,1,1,3,5,9999,99,2009,99
115,918,23,3,1,5,16,2,1,18,1,1,3,2,1985,1,2009,99
116,2976,23,10,5,11,10,1,1,18,1,1,3,5,1990,1,2009,99
117,3022,29,10,4,15,6,2,1,18,1,1,3,5,1991,1,2009,99
118,2369,12,8,3,19,9,2,1,18,1,1,3,4,1994,1,2009,99
119,2073,27,7,1,17,13,2,1,18,1,1,3,6,1996,1,2009,99
120,1688,13,6,6,18,11,1,1,18,1,1,3,1,2003,1,2009,99
121,750,7,3,6,19,15,2,1,18,1,1,3,99,9999,1,2009,99
122,2502,25,8,2,0,16,2,1,18,1,1,3,1,1986,4,2009,99
123,568,21,2,6,15,5,1,1,18,1,1,4,1,1984,1,2009,99
124,142,14,1,3,12,11,2,2,18,1,1,4,14,2003,1,2009,99
125,2849,9,10,5,14,14,2,1,18,1,1,4,3,2007,1,2009,99
126,3156,17,11,2,21,16,1,1,18,1,1,4,1,2007,1,2009,99
127,444,10,2,2,18,3,1,1,18,1,1,4,4,2008,1,2009,99
128,183,17,1,6,15,10,1,1,18,1,1,4,3,9999,1,2009,99
129,921,24,3,2,10,5,1,1,18,1,1,4,16,9999,1,2009,99
130,1475,17,5,7,15,21,1,1,18,1,1,4,1,9999,1,2009,99
131,3020,29,10,4,13,19,2,1,18,1,1,4,3,9999,1,2009,99
132,3340,12,12,6,8,4,2,1,18,1,1,4,5,9999,1,2009,99
133,2171,4,8,2,14,14,2,1,18,1,1,4,3,2009,2,2009,99
134,2241,4,8,2,14,14,2,1,18,1,1,4,3,2009,2,2009,99
135,2311,4,8,2,14,14,2,1,18,1,1,4,3,2009,2,2009,99
136,53,4,1,7,19,4,2,1,18,1,1,4,2,9999,2,2009,99
137,783,8,3,7,16,1,1,1,18,1,1,4,5,9999,2,2009,99
138,824,13,3,5,9,20,2,1,18,1,1,9,3,1997,1,2009,99
139,1955,12,7,7,14,14,2,1,18,1,1,9,2,9999,2,2009,99
140,1848,1,6,3,8,1,1,1,18,1,1,12,1,9999,1,2009,99
141,339,1,2,7,18,6,2,1,18,1,1,14,99,9999,1,2009,99
142,3075,3,11,2,12,22,2,1,18,1,1,14,1,9999,3,2009,99
143,577,21,2,6,0,1,1,1,19,1,9,1,2,1967,1,2009,99
144,1727,17,6,3,13,17,2,1,19,1,9,1,2,1995,1,2009,99
145,3523,31,12,4,20,3,2,1,19,1,9,1,3,1996,1,2009,99
146,1347,4,5,1,17,1,1,1,19,1,9,1,2,2003,1,2009,99
147,3329,11,12,5,0,9,2,1,19,1,9,1,2,9999,1,2009,99
