núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
34,2017,1,11,2,1,1,7,2001,20,99,1,34,5,5,7,1,1,69,1,2007,4,1,2,1
35,2017,1,11,2,1,1,7,2001,20,99,1,44,7,7,9,1,1,48,1,1999,3,1,2,1
36,2017,1,11,2,1,1,7,2001,20,99,1,29,4,4,6,1,1,69,1,9999,6,1,2,1
37,2017,1,11,2,1,1,7,2001,20,99,2,40,7,7,9,1,1,48,1,1999,3,1,2,1
38,2017,1,11,2,1,1,7,2001,20,99,2,29,4,4,6,1,1,69,1,9999,6,1,2,1
39,2017,1,21,4,3,1,7,1903,19,99,2,25,4,4,6,1,1,69,5,9999,6,1,2,1
40,2017,1,21,4,3,1,7,1903,19,99,1,22,3,3,5,1,1,69,5,9999,6,1,2,1
41,2017,1,21,4,3,1,7,1903,19,99,1,10,1,1,3,2,1,69,5,9999,6,1,2,1
42,2017,1,21,4,3,1,7,1903,19,99,1,16,2,2,4,2,1,69,5,9999,6,1,2,1
43,2017,1,18,4,3,1,7,509,5,99,1,32,5,5,7,1,22,999,1,2015,5,1,2,1
44,2017,1,11,2,1,1,7,101,1,10,1,30,5,5,7,1,4,999,99,9999,6,2,2,1
45,2017,1,15,3,2,1,7,603,6,99,1,18,2,2,4,1,4,999,99,9999,6,2,2,1
46,2017,2,1,1,1,1,1,110,1,99,1,24,3,3,5,1,3,69,2,1993,3,2,2,1
47,2017,2,1,1,1,1,1,110,1,99,1,999,16,12,18,1,3,69,2,1993,3,2,2,1
48,2017,2,1,1,1,1,1,110,1,99,1,999,16,12,18,1,3,69,2,1993,3,2,1,2
49,2017,2,0,1,1,1,1,117,1,99,1,25,4,4,6,1,4,27,5,2016,5,2,2,1
50,2017,2,14,3,2,1,1,101,1,1,1,23,3,3,5,1,4,999,99,9999,6,1,2,1
51,2017,2,8,2,1,1,1,2102,21,99,1,36,6,6,8,1,4,32,1,2016,5,1,1,2
52,2017,2,17,3,2,1,1,2106,21,99,1,62,11,11,13,1,3,69,2,9999,6,1,2,1
53,2017,2,17,3,2,1,1,2106,21,99,2,20,3,3,5,1,3,69,2,9999,6,1,2,1
54,2017,2,16,3,2,1,1,2001,20,99,2,28,4,4,6,1,4,67,1,2016,5,1,2,1
55,2017,2,16,3,2,1,1,2001,20,99,1,17,2,2,4,2,2,31,6,9999,6,1,1,2
56,2017,2,16,3,2,1,1,2001,20,99,1,13,1,1,3,2,2,31,6,9999,6,1,1,2
57,2017,2,12,3,2,1,1,513,5,99,1,24,3,3,5,1,4,999,5,9999,6,1,2,1
58,2017,2,14,3,2,1,1,501,5,99,1,34,5,5,7,1,1,73,2,9999,6,1,2,1
