num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_2,mayor_menor,tipo_veh,color_veh,modelo_veh,causa_acc,marca_veh,estado_pil
3729,24,12,2,23,4,6,601,2,99,1,29,4,1,5,14,9999,2,22,2
3730,24,12,2,18,4,6,601,2,99,1,23,3,1,4,99,9999,1,99,1
3731,24,12,2,7,2,8,802,2,99,1,34,5,1,9,6,2001,1,44,1
3732,25,12,3,16,3,1,101,1,5,1,38,6,1,1,99,1985,1,4,1
3733,25,12,3,19,4,1,101,1,4,1,32,5,1,3,1,9999,1,44,1
3734,25,12,3,10,2,19,1901,2,99,1,49,8,1,4,3,2007,3,42,1
3735,25,12,3,0,1,5,505,2,99,1,33,5,1,4,3,9999,1,42,2
3736,25,12,3,15,3,5,502,2,99,1,44,7,1,3,2,9999,1,44,1
3737,25,12,3,17,3,6,601,2,99,1,25,4,1,4,4,2011,1,21,2
3738,25,12,3,5,1,12,1201,2,99,1,23,3,1,9,1,9999,1,44,2
3739,25,12,3,15,3,2,203,2,99,1,28,4,1,1,1,1989,3,21,2
3740,25,12,3,15,3,14,1401,2,99,1,52,9,1,3,6,9999,3,44,2
3741,26,12,4,14,3,1,101,1,10,1,49,8,1,12,1,1989,1,33,1
3742,26,12,4,20,4,1,101,1,11,2,39,6,1,2,4,2005,1,44,1
3743,26,12,4,22,4,1,108,1,1,1,999,12,1,12,7,9999,1,22,1
3744,26,12,4,8,2,10,1013,2,99,1,30,5,1,1,4,9999,1,32,1
3745,26,12,4,11,2,17,1701,1,99,1,35,6,1,3,4,9999,2,44,1
3746,27,12,5,11,2,1,101,1,1,1,49,8,1,2,11,2007,1,44,1
3747,27,12,5,19,4,10,1010,2,99,1,45,8,1,2,10,1988,1,5,1
3748,27,12,5,22,4,18,1801,2,99,1,40,7,1,4,99,9999,1,5,1
3749,27,12,5,22,4,18,1801,2,99,2,19,2,1,2,4,2008,2,44,1
3750,27,12,5,13,3,1,101,1,13,1,53,9,1,1,2,2004,1,20,1
3751,27,12,5,0,1,1,101,1,12,1,21,3,1,4,5,2012,2,21,1
3752,27,12,5,21,4,19,1904,2,99,1,28,4,1,5,1,1992,1,13,1
3753,27,12,5,1,1,4,415,2,99,1,33,5,1,3,99,9999,1,99,1
3754,28,12,6,20,4,5,504,2,99,1,47,8,1,5,2,1999,2,23,1
3755,28,12,6,15,3,6,606,2,99,2,44,7,1,1,9,9999,1,34,1
3756,28,12,6,10,2,12,1201,2,99,1,999,12,1,3,4,9999,3,44,1
3757,28,12,6,22,4,12,1201,1,99,1,27,4,1,1,99,9999,2,99,1
3758,28,12,6,16,3,3,308,1,99,1,29,4,1,5,99,9999,1,99,1
3759,28,12,6,19,4,16,1613,1,99,9,999,12,1,3,6,2005,1,44,1
3760,28,12,6,16,3,1,108,1,1,1,38,6,1,3,16,1986,1,37,1
3761,28,12,6,2,1,1,101,1,8,9,999,12,1,1,2,9999,2,32,1
3762,29,12,7,8,2,1,101,1,2,1,46,8,1,1,2,2012,1,20,1
3763,29,12,7,20,4,1,101,1,6,1,32,5,1,4,1,9999,1,21,9
3764,29,12,7,0,1,1,101,1,5,1,25,4,1,4,1,2013,1,36,1
3765,29,12,7,21,4,1,102,2,99,1,24,3,1,4,99,9999,1,99,9
3766,29,12,7,17,3,1,101,1,10,1,21,3,1,4,99,9999,1,99,9
3767,29,12,7,23,4,1,101,1,7,2,21,3,1,1,3,9999,1,44,1
3768,29,12,7,18,4,5,501,2,99,1,41,7,1,1,2,2006,1,37,9
3769,29,12,7,21,4,5,501,2,99,1,52,9,1,3,99,2011,1,23,9
3770,29,12,7,23,4,5,501,2,99,1,24,3,1,4,1,2007,1,42,9
3771,29,12,7,21,4,9,920,2,99,1,21,3,1,1,2,9999,1,44,9
3772,29,12,7,13,3,9,901,1,6,1,999,12,1,3,2,9999,1,99,9
3773,29,12,7,16,3,9,920,1,3,1,33,5,1,1,2,9999,1,44,2
3774,29,12,7,11,2,12,1203,2,99,1,999,12,1,7,99,9999,3,13,9
3775,29,12,7,8,2,18,1801,2,99,1,36,6,1,6,5,1997,1,15,1
3776,30,12,1,21,4,1,101,1,9,1,21,3,1,4,99,9999,2,99,9
3777,30,12,1,10,2,1,117,1,7,1,33,5,1,12,14,1980,1,13,1
3778,30,12,1,19,4,1,110,2,99,1,18,2,1,4,99,9999,1,99,9
3779,30,12,1,18,4,5,501,2,99,1,36,6,1,4,5,2010,1,99,9
3780,30,12,1,22,4,10,1020,2,99,1,27,4,1,4,5,2012,1,2,1
3781,30,12,1,14,3,10,1002,2,99,2,18,2,1,1,1,1995,1,44,1
3782,30,12,1,18,4,9,901,1,3,1,25,4,1,1,4,2002,1,37,1
3783,30,12,1,11,2,12,1201,2,99,1,25,4,1,4,99,9999,1,99,9
3784,30,12,1,3,1,13,1301,2,99,1,19,2,1,1,2,9999,1,44,2
3785,30,12,1,16,3,13,1319,2,99,1,34,5,1,8,2,1987,1,42,2
3786,30,12,1,5,1,16,1613,2,99,1,999,12,1,9,4,9999,2,44,9
3787,30,12,1,19,4,18,1804,2,99,1,35,6,1,6,14,2003,1,15,1
3788,31,12,2,3,1,1,108,1,6,1,18,2,1,1,8,1994,1,4,2
3789,31,12,2,13,3,1,101,1,7,1,24,3,1,1,4,2006,1,21,1
3790,31,12,2,23,4,15,1501,2,99,1,30,5,1,3,2,2003,2,44,2
3791,31,12,2,16,3,12,1215,2,99,1,18,2,1,4,1,9999,1,24,9
3792,31,12,2,19,4,18,1801,1,99,1,42,7,1,3,3,1995,1,44,2
3793,31,12,2,10,2,18,1802,1,99,9,999,12,9,1,99,9999,1,99,9
3794,31,12,2,17,3,1,105,2,99,1,25,4,1,14,1,9999,3,2,2
3795,31,12,2,12,3,1,101,1,13,1,27,4,1,4,5,2012,1,10,2
